num,subset,SMILES,lambda,t12,logt12,solvent,E (J),E (eV),mol
125,3,Cc1noc(c1N=Nc2c(cccc2)F)C,321,,,acetonitrile,6.19252336448598E-19,3.86506907732496,Cc1noc(c1N=Nc1c(cccc1)F)C
596,2,c1cc(ccc1N=Nc2ccc(cc2)Cl)N(CCO)CCO,419,,,ethanol,4.74415274463007E-19,2.96106724062365,c1cc(ccc1N=Nc1ccc(cc1)Cl)N(CCO)CCO
184,1,FC(F)(F)c1cccc(c1)N=Nc2ccc(cc2)N(C)C,423,,,ethanol,4.69929078014184E-19,2.93306660477851,FC(F)(F)c1cccc(c1)N=Nc1ccc(cc1)N(C)C
744,2,c1ccccc1N=NC=2C(C)=C(C(N(CC)C=2NCCCOC)=O)C#N,416,,,ethanol,4.77836538461539E-19,2.98242109091661,c1ccccc1N=NC=1C(C)=C(C(N(CC)C=1NCCCOC)=O)C#N
218,5,O=S(=O)(C)c1ccc(cc1)N=Nc2c(cc(cc2)N(CCC#N)CCO)C,434,,,,4.58018433179724E-19,2.85872620696155,O=S(=O)(C)c1ccc(cc1)N=Nc1c(cc(cc1)N(CCC#N)CCO)C
202,5,N(C(=O)C)c1cc(ccc1)N=Nc2c(C)n[nH]c2C,329,12.7389705882353,1.10513433491363,acetonitrile,6.0419452887538E-19,3.77108563471523,N(C(=O)C)c1cc(ccc1)N=Nc1c(C)n[nH]c1C
407,2,c1cc(ccc1-n2nc(c(N=Nc3c(nn(-c4cc(c(cc4)C))c3O)C)c2O)C)S(=O)(=O)O,450,,,ethanol,4.41733333333333E-19,2.7570826084918,c1cc(ccc1N1C(=O)C(C(=N1)C)N=NC1C(C)=NN(c2ccc(cc2)S(=O)(=O)O)C1=O)C
447,1,c1cc(ccc1C)N=Nc2ccccc2,333,,,ethanol,5.96936936936937E-19,3.7257873087727,c1cc(ccc1C)N=Nc1ccccc1
679,2,c1cc(ccc1)N=NC=2C(=C(C(=O)N)C(NC=2O)=O)C,420,,,ethanol,4.73285714285714E-19,2.95401708052693,c1cc(ccc1)N=Nc1c(C)c(C(N)=O)c(nc1O)O
179,5,FC(F)(F)c1ccc(cc1)N=Nc2ccccc2,315,,,,6.31047619047619E-19,3.93868944070257,FC(F)(F)c1ccc(cc1)N=Nc1ccccc1
